Peercoin,PPC,https://github.com/peercoin/peercoin/graphs/commit-activity,113,+100 contributors
Maker,MKR,https://github.com/makerdao/pyexchange/graphs/commit-activity,112,4 contributors
ARbit,ARB2,/graphs/commit-activity,111,3 contributors
Coinvest,COIN,/graphs/commit-activity,111,5 contributors
BitClave,CAT,/graphs/commit-activity,110,4 contributors
Winding,LIF,/graphs/commit-activity,110,9 contributors
Humanscape,HUM,https://github.com/humanscape/token-profile/graphs/commit-activity,109,42 contributors
Verge,XVG,https://github.com/vergecurrency/VERGE/graphs/commit-activity,108,54 contributors
Sharder,SS,/graphs/commit-activity,106,5 contributors
Narrative,NRVE,/graphs/commit-activity,105,3 contributors
Bee,BEE,/graphs/commit-activity,105,6 contributors
TrezarCoin,TZC,https://github.com/TrezarCoin/TrezarCoin/graphs/commit-activity,103,+100 contributors
AirSwap,AST,https://github.com/airswap/auto-remediate/graphs/commit-activity,103,9 contributors
Masari,MSR,/graphs/commit-activity,103,6 contributors
Hush,HUSH,https://github.com/MyHush/hush/graphs/commit-activity,103,+100 contributors
ParkinGo,GOT,/graphs/commit-activity,100,4 contributors
Ambrosus,AMB,https://github.com/ambrosus/react-components/graphs/commit-activity,97,4 contributors
Elliot,ELLI,https://github.com/elliotproject/elli/graphs/commit-activity,96,+100 contributors
MonaCoin,MONA,https://github.com/monacoinproject/monacoin/graphs/commit-activity,95,+100 contributors
GravityCoin,GXX,https://github.com/GravityCoinOfficial/GravityCoin/graphs/commit-activity,94,16 contributors
Haven,XHV,https://github.com/havenprotocol/haven/graphs/commit-activity,93,3 contributors
STK,STK,/graphs/commit-activity,89,5 contributors
Bounty0x,BNTY,https://github.com/bounty0x/Bounty0xCrowdsale/graphs/commit-activity,88,1 contributor
Bitcoin,BTCS,https://github.com/bitcoin-scrypt/bitcoin-scrypt/graphs/commit-activity,87,2 contributors
BitWhite,BTW,https://github.com/BTWhite/BTWChain/graphs/commit-activity,86,2 contributors
View,VIEW,/graphs/commit-activity,85,2 contributors
BitcoinZ,BTCZ,/graphs/commit-activity,85,8 contributors
SDChain,SDA,/graphs/commit-activity,84,5 contributors
